Index,Origin,Dest
632462,BUF,MCO
596495,JFK,TPA
341998,FNT,ATL
953881,ATL,DEN
478039,HNL,ORD
543729,SEA,SMF
422075,CLT,LGA
781332,FWA,ORD
987958,ORD,BNA
54512,TPA,SDF
532457,HNL,KOA
763833,BTV,JFK
424053,SEA,MSP
724488,IAH,BNA
619609,TPA,HOU
134893,SAT,PHX
300216,MDW,STL
741068,PHX,DEN
504666,LAX,AUS
120824,IAH,ICT
574469,IAH,AUS
78715,MCO,ALB
141247,PHX,SLC
907588,BHM,ATL
668349,SMF,LAS
986049,GPT,ORD
824064,SNA,DEN
919696,OMA,ATL
648152,ONT,SJC
729264,DSM,PHX
758744,LGA,CLT
218136,MRY,DEN
116934,DCA,EWR
188834,SLC,SFO
45593,BWI,HOU
907377,LAX,ATL
644767,PDX,LAS
467495,MEM,TYS
980032,SHV,DFW
590926,FLL,ATL
788354,DEN,ASE
194242,DEN,BFL
49016,BWI,FLL
116441,GPT,IAH
762894,CLT,LGA
177673,SLC,OAK
504393,DFW,MIA
302868,RNO,ATL
367221,LGA,ATL
662478,DAL,MCI
747850,MCO,GRR
420065,LGA,DCA
648214,PDX,PHX
541104,FAI,ANC
1033910,MSP,FAR
75462,HOU,SAT
151752,CVG,SAT
36217,LAS,SFO
13236,LAX,ABQ
123200,EWR,AVL
97576,SAN,OKC
572609,SFO,EWR
382440,SJC,SAN
859263,CLT,PHL
795192,EUG,SLC
93240,PIT,PHL
535220,SEA,LAX
639428,BWI,BUF
78451,LAS,SAT
677018,RNO,LAS
619501,STL,BWI
592598,MIA,ATL
591125,PDX,ATL
213877,SLC,BUR
155893,CVG,HSV
865737,CLT,RIC
1001619,BOS,LGA
966798,SJC,SNA
1006585,MSP,PDX
913801,CHA,ATL
698249,SAN,COS
986623,ORD,SDF
765141,SLC,SGU
268831,PHX,SAN
228266,OAK,DEN
296321,JAX,FLL
36855,MHT,MCO
752954,ATL,GSO
697598,ABQ,AUS
66191,MCO,RSW
968981,ACT,DFW
706251,IAH,JAX
226849,DEN,SAN
884504,PHX,SNA
386925,DFW,LIT
407705,MIA,CLT
982922,ORD,OMA
906151,LAS,ATL
818118,DEN,JAC
980332,DFW,MKE
246635,DEN,PIT
551183,JFK,SFO
1023202,FNT,DTW
178509,MSN,ORD
157475,RDU,JFK
848013,BWI,PHL
33281,MCO,CMH
839420,LAX,SFO
635774,BHM,SDF
205602,RAP,DEN
783813,SLC,GTF
680595,SEA,BOI
1028600,SYR,DTW
708014,GSO,IAH
344170,CVG,JAN
383625,DFW,ACT
152490,JFK,BWI
298727,BWI,MCO
1047235,TYS,MEM
784722,ORD,MEM
994730,ORD,SGF
127165,GSP,IAH
745568,CLT,CHS
1029650,EWR,DTW
229074,DEN,SLC
709233,CHS,EWR
326460,PVD,ATL
24836,RDU,PHL
674657,ABQ,PHX
231788,DEN,EGE
875355,PHL,TPA
795528,MRY,LAX
386127,SPS,DFW
946494,ATL,BOS
956861,ATL,DAY
747304,KOA,HNL
399858,ORD,MSN
198709,SAV,ORD
288896,SAN,CLT
263511,PHX,BWI
359266,ATL,LGA
600392,ATL,SLC
587946,SFO,ATL
906188,JFK,MIA
715131,IAH,CHA
161372,LEX,CVG
599555,FLL,CVG
983175,ORD,SGF
905802,JAX,ATL
829796,MSY,ORD
845301,ORD,MCO
635263,SLC,PHX
661152,SAN,PHX
375991,HNL,KOA
476467,SHV,MEM
925598,TRI,ATL
760589,RDU,CVG
160833,LGA,JAX
439855,MSN,MSP
349089,DEN,IAH
840379,DEN,OMA
433328,MSP,DEN
204298,ABQ,SLC
232681,ORD,RDU
801401,SGU,SLC
83111,SAN,OAK
723261,DAY,CLE
778688,CVG,DEN
369833,MEM,ATL
265194,BOS,DCA
480583,RSW,DFW
853394,LGA,BOS
1015918,EWR,DTW
458000,SBN,DTW
631478,RDU,MCO
28293,RNO,LAS
271284,PIT,PHX
463786,MSP,OKC
67057,PHX,STL
29134,AUS,MAF
41364,SJC,SNA
998335,BOS,DCA
309382,MCO,CVG
852854,BOS,PHL
277617,PHX,SAN
811175,HNL,ORD
806316,SLC,CPR
457446,SDF,DTW
640529,LAX,SMF
505227,SNA,DFW
525656,DFW,TUL
173540,DEN,GUC
984610,ORD,MQT
644108,MCO,BWI
65279,ELP,AUS
540263,ORD,SEA
287124,FLL,CLT
999275,RDU,JFK
107863,MCI,CLE
197741,OAK,LAX
885049,BUR,PHX
317418,ATL,OAK
119867,MKE,CLE
795285,PDX,SLC
556594,BOS,FLL
990090,ORD,IND
593597,HNL,ATL
179418,HLN,SLC
427219,MEM,BOS
804147,SFO,SNA
823310,PIT,ORD
368882,ATL,PHF
475680,MEM,HSV
513364,STL,DCA
659731,LAS,SNA
774831,SLC,ASE
76447,PDX,SMF
993343,ORD,CMH
52770,IND,PHX
154856,PHL,CVG
429297,MKE,MSP
1010415,DTW,AZO
545105,LAX,SEA
2914,CLE,BWI
317238,DFW,SLC
295130,PHX,LAS
1013028,IND,MSP
447179,VPS,MEM
707709,RIC,CLE
481662,AUS,ORD
583884,IAH,DTW
450886,BOS,MSP
982012,MCI,DAL
981656,DFW,MLI
955209,PHL,ATL
268147,DCA,TPA
4871,PHX,MDW
1311,PHL,PIT
500682,DFW,OMA
771424,SLC,GTF
431029,MEM,MSP
